intent,examples
reduce_plastic_use,How can I reduce plastic use at home?
solar_schemes,Any government schemes for solar energy?
eco_friendly_travel,What are eco-friendly travel options?
recycling_rules,What are the recycling rules in my area?
save_water,How can I save water at home?
compost_kitchen_waste,How do I compost kitchen waste?
green_daily_habits,What are some green daily habits?
sustainable_shopping,How to shop for sustainable products?
home_vegetable_garden,How to start a home vegetable garden?
dispose_e_waste,How do I dispose of e-waste responsibly?
